orderID,orderDate,orderTime,orderCost
2,2006-07-02,07:32:32,2
3,2023-09-21,09:52:52,10
4,2018-01-17,01:14:14,9
5,2008-02-26,02:40:40,7
6,2002-06-06,06:05:05,19
7,2015-04-14,04:45:45,10
8,2022-03-13,03:19:19,11
9,2005-08-15,08:44:44,8
10,2008-03-06,03:37:37,12
11,2020-04-19,04:24:24,3
12,2024-10-14,10:26:26,1
13,2013-12-07,12:09:09,8
14,2011-11-25,11:19:19,15
15,2015-08-02,08:09:09,15
16,2013-06-08,06:51:51,12
17,2011-03-06,03:07:07,17
18,2021-10-01,10:42:42,2
19,2000-04-26,04:22:22,12
20,2003-05-05,05:21:21,19
21,2002-02-05,02:54:54,16
22,2009-08-24,08:03:03,9
23,2007-04-03,04:24:24,3
24,2016-12-14,12:49:49,13
25,2010-05-05,05:45:45,1
26,2003-02-19,02:14:14,14
27,2016-02-23,02:16:16,1
28,2020-05-04,05:52:52,17
29,2009-07-27,07:56:56,17
30,2015-10-08,10:58:58,7
31,2003-08-18,08:40:40,11
32,2000-02-02,02:10:10,20
33,2024-10-01,10:58:58,10
34,2015-07-09,07:11:11,20
35,2023-10-12,10:01:01,17
36,2008-05-16,05:57:57,15
37,2019-10-16,10:56:56,6
38,2001-03-14,03:29:29,16
39,2015-09-25,09:14:14,8
40,2002-03-16,03:30:30,4
41,2018-12-11,12:29:29,4
42,2012-03-13,03:17:17,1
43,2013-04-11,04:35:35,11
44,2005-06-24,06:25:25,5
45,2009-03-12,03:56:56,2
46,2016-02-03,02:55:55,14
47,2006-09-20,09:37:37,19
48,2023-07-04,07:28:28,2
49,2001-05-09,05:26:26,17
50,2010-02-26,02:44:44,1
51,2002-01-25,01:03:03,12
52,2018-12-16,12:56:56,2
53,2013-08-27,08:21:21,17
54,2003-04-01,04:32:32,2
55,2019-12-05,12:35:35,15
56,2009-08-21,08:18:18,5
57,2013-08-25,08:43:43,5
58,2003-10-01,10:10:10,18
59,2017-03-21,03:19:19,18
60,2018-10-17,10:25:25,12
61,2019-12-03,12:05:05,4
62,2018-04-16,04:54:54,9
63,2009-02-08,02:13:13,17
64,2016-09-01,09:18:18,11
65,2002-07-11,07:57:57,13
66,2014-07-11,07:50:50,4
67,2005-02-05,02:30:30,1
68,2023-09-23,09:15:15,7
69,2005-11-10,11:15:15,10
70,2006-03-13,03:27:27,17
71,2017-04-05,04:52:52,2
72,2002-07-16,07:27:27,15
73,2008-03-24,03:37:37,12
74,2023-03-20,03:12:12,2
75,2019-11-19,11:15:15,3
76,2023-06-27,06:51:51,5
77,2011-11-09,11:31:31,2
78,2017-11-19,11:29:29,16
79,2001-03-15,03:22:22,4
80,2007-03-18,03:07:07,6
81,2008-01-11,01:41:41,12
82,2001-11-17,11:33:33,13
83,2004-11-03,11:51:51,16
84,2001-07-02,07:08:08,14
85,2017-07-02,07:01:01,1
86,2014-08-04,08:12:12,16
87,2020-11-11,11:56:56,14
88,2020-07-07,07:25:25,16
89,2004-09-18,09:10:10,14
90,2015-05-17,05:02:02,4
91,2004-01-08,01:11:11,11
92,2014-09-13,09:11:11,14
93,2010-07-26,07:54:54,6
94,2002-10-16,10:26:26,13
95,2017-02-28,02:11:11,19
96,2018-03-15,03:58:58,6
97,2005-08-08,08:17:17,2
98,2003-10-11,10:33:33,7
99,2013-09-07,09:35:35,19
100,2024-07-13,07:54:54,12
101,2008-11-26,11:17:17,5
102,2024-12-09,12:56:56,14
103,2012-12-18,12:44:44,13
104,2015-04-06,04:49:49,11
105,2001-05-08,05:34:34,6
106,2014-07-01,07:02:02,14
107,2024-08-09,08:16:16,15
108,2009-07-03,07:01:01,19
109,2004-03-22,03:43:43,12
110,2025-09-09,09:16:16,7
111,2002-06-11,06:47:47,11
112,2001-03-16,03:03:03,3
113,2002-07-12,07:59:59,4
114,2000-07-28,07:13:13,11
115,2006-01-06,01:21:21,9
116,2005-06-15,06:57:57,7
117,2019-06-09,06:02:02,11
118,2006-02-17,02:50:50,7
119,2014-11-11,11:14:14,3
120,2021-02-28,02:34:34,5
121,2018-11-04,11:51:51,5
122,2004-07-03,07:54:54,16
123,2001-05-08,05:37:37,10
124,2020-08-13,08:26:26,17
125,2007-10-14,10:11:11,8
126,2007-12-09,12:52:52,13
127,2000-06-21,06:15:15,7
128,2002-09-15,09:26:26,18
129,2003-05-06,05:11:11,16
130,2017-07-14,07:31:31,6
131,2006-04-24,04:32:32,13
132,2020-09-01,09:59:59,13
133,2024-12-01,12:15:15,5
134,2006-05-27,05:20:20,13
135,2008-08-19,08:02:02,14
136,2015-07-16,07:11:11,10
137,2007-04-06,04:04:04,3
138,2000-05-21,05:13:13,11
139,2024-01-01,01:10:10,2
140,2000-09-04,09:01:01,7
141,2007-12-22,12:03:03,19
142,2001-01-09,01:50:50,19
143,2005-09-23,09:30:30,4
144,2001-07-17,07:54:54,1
145,2008-02-24,02:16:16,18
146,2010-03-20,03:51:51,13
147,2024-07-25,07:15:15,1
148,2013-11-25,11:43:43,8
149,2011-09-05,09:30:30,12
150,2021-09-09,09:45:45,2
151,2002-01-16,01:24:24,7
152,2007-01-14,01:33:33,14
153,2011-08-24,08:52:52,10
154,2000-03-23,03:45:45,5
155,2025-05-16,05:58:58,4
156,2011-10-23,10:37:37,7
157,2017-04-24,04:33:33,18
158,2021-12-22,12:32:32,3
159,2014-11-15,11:18:18,14
160,2012-06-21,06:03:03,16
161,2006-06-25,06:59:59,19
162,2003-05-18,05:54:54,18
163,2012-01-24,01:52:52,3
164,2011-05-16,05:01:01,7
165,2017-09-11,09:21:21,4
166,2019-10-20,10:04:04,16
167,2015-01-15,01:44:44,18
168,2024-12-19,12:49:49,10
169,2002-02-11,02:08:08,15
170,2009-11-19,11:31:31,17
171,2006-11-01,11:42:42,10
172,2016-04-16,04:24:24,20
173,2008-01-10,01:07:07,11
174,2007-07-18,07:50:50,15
175,2007-04-15,04:52:52,10
176,2019-10-05,10:15:15,16
177,2020-06-28,06:35:35,5
178,2020-11-15,11:27:27,18
179,2016-03-26,03:52:52,8
180,2008-11-21,11:36:36,16
181,2022-01-04,01:38:38,18
182,2007-09-05,09:41:41,4
183,2012-05-09,05:48:48,16
184,2006-11-23,11:31:31,8
185,2020-09-18,09:35:35,14
186,2013-12-05,12:37:37,18
187,2020-06-25,06:43:43,10
188,2005-04-10,04:34:34,12
189,2017-06-24,06:09:09,15
190,2001-12-04,12:12:12,1
191,2008-11-16,11:29:29,6
192,2001-05-01,05:38:38,4
193,2004-04-17,04:27:27,16
194,2019-03-27,03:53:53,19
195,2016-12-12,12:34:34,4
196,2025-03-03,03:23:23,10
197,2016-11-27,11:05:05,20
198,2000-04-21,04:04:04,20
199,2005-03-04,03:00:00,17
200,2009-11-05,11:31:31,20
201,2005-12-10,12:03:03,7
202,2017-07-02,07:02:02,6
203,2022-11-26,11:49:49,8
204,2014-07-03,07:18:18,7
205,2000-08-06,08:18:18,12
206,2011-08-10,08:54:54,16
207,2022-10-27,10:32:32,8
208,2006-07-05,07:56:56,9
209,2018-08-28,08:25:25,4
210,2000-03-13,03:01:01,7
211,2019-11-25,11:13:13,15
212,2010-08-06,08:09:09,10
213,2004-08-11,08:06:06,12
214,2008-02-15,02:31:31,2
215,2007-11-23,11:57:57,9
216,2004-11-02,11:20:20,2
217,2011-12-18,12:15:15,9
218,2014-12-19,12:54:54,4
219,2012-06-17,06:54:54,5
220,2009-03-16,03:18:18,10
221,2018-06-28,06:12:12,20
222,2020-12-27,12:12:12,3
223,2005-01-13,01:58:58,3
224,2018-03-18,03:09:09,1
225,2010-04-11,04:57:57,16
226,2012-07-13,07:20:20,14
227,2022-02-25,02:25:25,14
228,2010-09-24,09:27:27,19
229,2001-07-08,07:54:54,9
230,2014-04-20,04:16:16,7
231,2008-06-26,06:26:26,4
232,2010-02-07,02:28:28,2
233,2005-07-13,07:17:17,16
234,2006-10-11,10:48:48,19
235,2007-06-02,06:11:11,14
236,2022-01-25,01:37:37,20
237,2009-06-17,06:00:00,11
238,2011-03-04,03:44:44,9
239,2009-12-19,12:37:37,1
240,2021-06-07,06:49:49,7
241,2014-06-20,06:10:10,13
242,2014-10-24,10:04:04,17
243,2002-01-24,01:13:13,4
244,2023-11-13,11:48:48,19
245,2020-06-08,06:05:05,2
246,2008-07-26,07:59:59,20
247,2023-04-28,04:21:21,12
248,2014-11-06,11:19:19,4
249,2004-08-05,08:55:55,4
250,2007-12-25,12:28:28,1
