orderID,orderDate,orderTime,orderCost
1,2025-09-15,09:00:00,11.92
2,2025-09-15,09:00:00,12.32
3,2025-09-15,09:00:00,9.08
4,2025-09-15,09:01:01,14.10
5,2025-09-15,09:01:01,17.87
6,2025-09-15,09:01:01,7.30
7,2025-09-15,09:02:02,12.69
8,2025-09-15,09:02:02,14.96
9,2025-09-15,09:02:02,16.94
10,2025-09-15,09:02:02,20.21
11,2025-09-15,09:03:03,3.46
12,2025-09-15,09:04:04,13.05
13,2025-09-15,09:04:04,13.61
14,2025-09-15,09:05:05,11.00
15,2025-09-15,09:05:05,8.81
16,2025-09-15,09:06:06,12.47
17,2025-09-15,09:06:06,13.90
18,2025-09-15,09:06:06,4.89
19,2025-09-15,09:06:06,7.47
20,2025-09-15,09:07:07,11.21
21,2025-09-15,09:07:07,14.14
22,2025-09-15,09:08:08,14.07
23,2025-09-15,09:10:10,14.64
24,2025-09-15,09:10:10,19.85
25,2025-09-15,09:11:11,9.07
26,2025-09-15,09:12:12,2.77
27,2025-09-15,09:13:13,20.94
28,2025-09-15,09:14:14,2.17
29,2025-09-15,09:14:14,9.14
30,2025-09-15,09:15:15,1.17
31,2025-09-15,09:15:15,17.23
32,2025-09-15,09:19:19,11.91
33,2025-09-15,09:19:19,2.00
34,2025-09-15,09:19:19,8.00
35,2025-09-15,09:20:20,14.67
36,2025-09-15,09:20:20,18.60
37,2025-09-15,09:21:21,16.27
38,2025-09-15,09:22:22,10.59
39,2025-09-15,09:22:22,18.71
40,2025-09-15,09:22:22,18.95
41,2025-09-15,09:22:22,9.80
42,2025-09-15,09:23:23,16.80
43,2025-09-15,09:23:23,8.20
44,2025-09-15,09:24:24,19.88
45,2025-09-15,09:25:25,4.67
46,2025-09-15,09:27:27,13.74
47,2025-09-15,09:27:27,14.72
48,2025-09-15,09:27:27,4.12
49,2025-09-15,09:28:28,5.07
50,2025-09-15,09:29:29,17.32
51,2025-09-15,09:29:29,17.64
52,2025-09-15,09:30:30,18.77
53,2025-09-15,09:30:30,8.99
54,2025-09-15,09:31:31,10.88
55,2025-09-15,09:31:31,17.61
56,2025-09-15,09:31:31,3.65
57,2025-09-15,09:32:32,10.30
58,2025-09-15,09:32:32,15.63
59,2025-09-15,09:32:32,2.17
60,2025-09-15,09:32:32,3.54
61,2025-09-15,09:32:32,5.35
62,2025-09-15,09:32:32,8.13
63,2025-09-15,09:32:32,9.00
64,2025-09-15,09:34:34,12.74
65,2025-09-15,09:34:34,17.15
66,2025-09-15,09:34:34,9.27
67,2025-09-15,09:35:35,18.12
68,2025-09-15,09:35:35,18.45
69,2025-09-15,09:36:36,12.32
70,2025-09-15,09:37:37,4.16
71,2025-09-15,09:39:39,13.74
72,2025-09-15,09:40:40,1.13
73,2025-09-15,09:40:40,1.31
74,2025-09-15,09:40:40,1.34
75,2025-09-15,09:40:40,11.52
76,2025-09-15,09:40:40,12.45
77,2025-09-15,09:40:40,20.42
78,2025-09-15,09:40:40,8.37
79,2025-09-15,09:41:41,16.87
80,2025-09-15,09:41:41,17.46
81,2025-09-15,09:41:41,18.42
82,2025-09-15,09:41:41,5.45
83,2025-09-15,09:41:41,6.56
84,2025-09-15,09:42:42,1.21
85,2025-09-15,09:42:42,12.80
86,2025-09-15,09:43:43,1.05
87,2025-09-15,09:43:43,19.34
88,2025-09-15,09:43:43,2.41
89,2025-09-15,09:43:43,7.78
90,2025-09-15,09:44:44,11.52
91,2025-09-15,09:45:45,10.38
92,2025-09-15,09:45:45,11.70
93,2025-09-15,09:45:45,6.23
94,2025-09-15,09:45:45,8.79
95,2025-09-15,09:46:46,1.10
96,2025-09-15,09:46:46,5.85
97,2025-09-15,09:46:46,6.87
98,2025-09-15,09:47:47,14.18
99,2025-09-15,09:47:47,4.07
100,2025-09-15,09:48:48,13.41
101,2025-09-15,09:49:49,1.87
102,2025-09-15,09:49:49,9.05
103,2025-09-15,09:50:50,1.69
104,2025-09-15,09:50:50,14.30
105,2025-09-15,09:50:50,18.63
106,2025-09-15,09:53:53,15.13
107,2025-09-15,09:53:53,4.31
108,2025-09-15,09:54:54,6.60
109,2025-09-15,09:55:55,12.17
110,2025-09-15,09:55:55,20.89
111,2025-09-15,09:57:57,1.15
112,2025-09-15,09:57:57,18.36
113,2025-09-15,09:57:57,20.29
114,2025-09-15,09:58:58,2.69
115,2025-09-15,09:59:59,18.82
116,2025-09-15,09:59:59,6.72
117,2025-09-16,09:00:00,2.52
118,2025-09-16,09:00:00,20.02
119,2025-09-16,09:03:03,3.05
120,2025-09-16,09:03:03,8.02
121,2025-09-16,09:04:04,20.42
122,2025-09-16,09:04:04,5.92
123,2025-09-16,09:05:05,2.83
124,2025-09-16,09:05:05,3.00
125,2025-09-16,09:05:05,8.23
126,2025-09-16,09:06:06,7.38
127,2025-09-16,09:07:07,13.16
128,2025-09-16,09:07:07,15.62
129,2025-09-16,09:07:07,4.08
130,2025-09-16,09:08:08,16.15
131,2025-09-16,09:08:08,20.36
132,2025-09-16,09:09:09,2.67
133,2025-09-16,09:09:09,9.34
134,2025-09-16,09:09:09,9.61
135,2025-09-16,09:10:10,14.43
136,2025-09-16,09:10:10,2.86
137,2025-09-16,09:11:11,7.90
138,2025-09-16,09:12:12,14.34
139,2025-09-16,09:12:12,19.30
140,2025-09-16,09:12:12,4.22
141,2025-09-16,09:12:12,4.90
142,2025-09-16,09:12:12,5.69
143,2025-09-16,09:12:12,9.45
144,2025-09-16,09:12:12,9.83
145,2025-09-16,09:13:13,13.23
